Species_name;status_category;status_num;status_standardized;first_evidence;years_since_introduction;years_standardized
Acer_campestre;I;1;0;;8518;0
Acer_negundo;N;3;1;1945;73;0.99341254
Acer_platanoides;I;1;0;;8518;0
Acer_pseudoplatanus;N;3;1;1964;54;0.995647571
Achillea_millefolium;I;1;0;;8518;0
Agrimonia_eupatoria;I;1;0;;8518;0
Agrostis_capillaris;I;1;0;;8518;0
Agrostis_gigantea;I;1;0;;8518;0
Agrostis_stolonifera;I;1;0;;8518;0
Ajuga_genevensis;I;1;0;;8518;0
Ambrosia_psilostachya;N;3;1;1946;72;0.993530173
Anchusa_officinalis;A;2;0.5;;2768;0.676391013
Anthoxanthum_odoratum;I;1;0;;8518;0
Anthriscus_caucalis;A;2;0.5;;2768;0.676391013
Arabidopsis_thaliana;A;2;0.5;;2768;0.676391013
Arabis_glabra;I;1;0;;8518;0
Arenaria_serpyllifolia;I;1;0;;8518;0
Armeria_elongata;I;1;0;;8518;0
Arrhenatherum_elatius;N;3;1;1787;231;0.974826491
Artemisia_campestris;I;1;0;;8518;0
Artemisia_vulgaris;I;1;0;;8518;0
Berteroa_incana;N;3;1;1787;231;0.974826491
Bromus_hordeaceus;I;1;0;;8518;0
Bromus_inermis;N;3;1;1787;231;0.974826491
Bromus_sterilis;A;2;0.5;;2768;0.676391013
Bromus_tectorum;A;2;0.5;;2768;0.676391013
Calamagrostis_epigejos;I;1;0;;8518;0
Campanula_rapunculus;N;3;1;1859;159;0.983296083
Capsella_bursa-pastoris;A;2;0.5;;2768;0.676391013
Cardamine_hirsuta;N;3;1;1843;175;0.981413951
Cardaminopsis_arenosa;I;1;0;;8518;0
Carex_arenaria;I;1;0;;8518;0
Carex_caryophyllea;I;1;0;;8518;0
Carex_hirta;I;1;0;;8518;0
Carex_ligerica;I;1;0;;8518;0
Carex_praecox;I;1;0;;8518;0
Carex_spicata;I;1;0;;8518;0
Centaurea_jacea;I;1;0;;8518;0
Centaurea_stoebe;I;1;0;;8518;0
Cerastium_arvense;I;1;0;;8518;0
Cerastium_glomeratum;I;1;0;;8518;0
Cerastium_glutinosum;I;1;0;;8518;0
Cerastium_holosteoides;I;1;0;;8518;0
Cerastium_semidecandrum;I;1;0;;8518;0
Chenopodium_album;I;1;0;;8518;0
Chondrilla_juncea;I;1;0;;8518;0
Cirsium_arvense;I;1;0;;8518;0
Cirsium_vulgare;I;1;0;;8518;0
Clematis_vitalba;N;3;1;1957;61;0.994824138
Convolvulus_arvensis;A;2;0.5;;2768;0.676391013
Conyza_canadensis;N;3;1;1787;231;0.974826491
Corynephorus_canescens;I;1;0;;8518;0
Crataegus_monogyna;I;1;0;;8518;0
Crepis_capillaris;A;2;0.5;;2768;0.676391013
Cynoglossum_officinale;I;1;0;;8518;0
Cytisus_scoparius;I;1;0;;8518;0
Dactylis_glomerata;I;1;0;;8518;0
Danthonia_decumbens;I;1;0;;8518;0
Daucus_carota;I;1;0;;8518;0
Deschampsia_flexuosa;I;1;0;;8518;0
Dianthus_carthusianorum;I;1;0;;8518;0
Dianthus_deltoides;I;1;0;;8518;0
Dianthus_giganteus;N;3;1;2001;17;1
Digitaria_ischaemum;A;2;0.5;;2768;0.676391013
Digitaria_sanguinalis;A;2;0.5;;2768;0.676391013
Dipsacus_fullonum;N;3;1;1953;65;0.994353605
Draba_verna;I;1;0;;8518;0
Echium_vulgare;A;2;0.5;;2768;0.676391013
Elymus_repens;I;1;0;;8518;0
Equisetum_arvense;I;1;0;;8518;0
Equisetum_x_moorei;I;1;0;;8518;0
Eragrostis_minor;N;3;1;1953;65;0.994353605
Erigeron_acris;I;1;0;;8518;0
Erigeron_annuus;N;3;1;1859;159;0.983296083
Erodium_cicutarium;A;2;0.5;;2768;0.676391013
Euonymus_europaea;I;1;0;;8518;0
Euphorbia_cyparissias;I;1;0;;8518;0
Festuca_arundinacea;I;1;0;;8518;0
Festuca_brevipila;I;1;0;;8518;0
Festuca_ovina;I;1;0;;8518;0
Festuca_pratensis;I;1;0;;8518;0
Festuca_rubra;I;1;0;;8518;0
Ficaria_verna;I;1;0;;8518;0
Filago_arvensis;I;1;0;;8518;0
Gagea_pratensis;I;1;0;;8518;0
Galium_aparine;I;1;0;;8518;0
Galium_boreale;I;1;0;;8518;0
Galium_mollugo;I;1;0;;8518;0
Galium_verum;I;1;0;;8518;0
Geranium_molle;A;2;0.5;;2768;0.676391013
Geranium_pusillum;A;2;0.5;;2768;0.676391013
Geranium_pyrenaicum;N;3;1;1859;159;0.983296083
Geranium_robertianum;I;1;0;;8518;0
Glechoma_hederacea;I;1;0;;8518;0
Gypsophila_paniculata;N;3;1;1953;65;0.994353605
Helichrysum_arenarium;I;1;0;;8518;0
Herniaria_glabra;I;1;0;;8518;0
Hieracium_bauhini;I;1;0;;8518;0
Hieracium_pilosella;I;1;0;;8518;0
Hieracium_umbellatum;I;1;0;;8518;0
Holcus_lanatus;I;1;0;;8518;0
Holcus_mollis;I;1;0;;8518;0
Holosteum_umbellatum;A;2;0.5;;2768;0.676391013
Hypericum_perforatum;I;1;0;;8518;0
Hypochaeris_radicata;I;1;0;;8518;0
Jasione_montana;I;1;0;;8518;0
Koeleria_macrantha;I;1;0;;8518;0
Lamium_purpureum;A;2;0.5;;2768;0.676391013
Lapsana_communis;I;1;0;;8518;0
Leontodon_autumnalis;I;1;0;;8518;0
Leucanthemum_vulgare;I;1;0;;8518;0
Linaria_vulgaris;I;1;0;;8518;0
Lolium_multiflorum;N;3;1;1859;159;0.983296083
Lolium_perenne;I;1;0;;8518;0
Lotus_corniculatus;I;1;0;;8518;0
Luzula_campestris;I;1;0;;8518;0
Luzula_multiflora;I;1;0;;8518;0
Malva_moschata;N;3;1;1878;140;0.985531114
Medicago_lupulina;I;1;0;;8518;0
Medicago_minima;I;1;0;;8518;0
Medicago_x_varia;N;3;1;1859;159;0.983296083
Melampyrum_pratense;I;1;0;;8518;0
Melilotus_officinalis;A;2;0.5;;2768;0.676391013
Moehringia_trinervia;I;1;0;;8518;0
Myosotis_arvensis;A;2;0.5;;2768;0.676391013
Myosotis_ramosissima;A;2;0.5;;2768;0.676391013
Myosotis_stricta;A;2;0.5;;2768;0.676391013
Oenothera_biennis;N;3;1;1787;231;0.974826491
Ononis_repens;I;1;0;;8518;0
Papaver_argemone;A;2;0.5;;2768;0.676391013
Papaver_dubium;A;2;0.5;;2768;0.676391013
Petrorhagia_prolifera;I;1;0;;8518;0
Petrorhagia_saxifraga;N;3;1;1947;71;0.993647806
Peucedanum_oreoselinum;I;1;0;;8518;0
Picris_hieracioides;I;1;0;;8518;0
Pimpinella_saxifraga;I;1;0;;8518;0
Pinus_sylvestris;I;1;0;;8518;0
Plantago_arenaria;N;3;1;1787;231;0.974826491
Plantago_lanceolata;A;2;0.5;;2768;0.676391013
Plantago_major;A;2;0.5;;2768;0.676391013
Poa_angustifolia;I;1;0;;8518;0
Poa_annua;A;2;0.5;;2768;0.676391013
Poa_bulbosa;A;2;0.5;;2768;0.676391013
Poa_compressa;I;1;0;;8518;0
Poa_pratensis;I;1;0;;8518;0
Poa_trivialis;I;1;0;;8518;0
Polygonatum_odoratum;I;1;0;;8518;0
Polygonum_aviculare;I;1;0;;8518;0
Populus_tremula;I;1;0;;8518;0
Portulaca_oleracea;N;3;1;1841;177;0.981178685
Potentilla_argentea;I;1;0;;8518;0
Potentilla_incana;I;1;0;;8518;0
Potentilla_reptans;I;1;0;;8518;0
Potentilla_verna;I;1;0;;8518;0
Prunus_domestica;N;3;1;1787;231;0.974826491
Prunus_serotina;N;3;1;1825;193;0.979296553
Prunus_spinosa;I;1;0;;8518;0
Pyrus_communis;N;3;1;1885;133;0.986354547
Quercus_robur;I;1;0;;8518;0
Ranunculus_acris;I;1;0;;8518;0
Ranunculus_bulbosus;I;1;0;;8518;0
Robinia_pseudoacacia;N;3;1;1859;159;0.983296083
Rosa_canina;I;1;0;;8518;0
Rubus_caesius;I;1;0;;8518;0
Rubus_fruticosus;I;1;0;;8518;0
Rumex_acetosella;I;1;0;;8518;0
Rumex_thyrsiflorus;I;1;0;;8518;0
Salvia_pratensis;I;1;0;;8518;0
Sanguisorba_muricata;N;3;1;1961;57;0.995294671
Saponaria_officinalis;I;1;0;;8518;0
Saxifraga_tridactylites;I;1;0;;8518;0
Scleranthus_annuus;A;2;0.5;;2768;0.676391013
Scleranthus_perennis;I;1;0;;8518;0
Securigera_varia;I;1;0;;8518;0
Sedum_acre;I;1;0;;8518;0
Sedum_album;N;3;1;1970;48;0.99635337
Sedum_maximum;I;1;0;;8518;0
Sedum_reflexum;I;1;0;;8518;0
Sedum_sexangulare;I;1;0;;8518;0
Senecio_inaequidens;N;3;1;1993;25;0.999058934
Senecio_jacobaea;I;1;0;;8518;0
Senecio_vernalis;N;3;1;1859;159;0.983296083
Setaria_viridis;A;2;0.5;;2768;0.676391013
Silene_alba;I;1;0;;8518;0
Silene_conica;N;3;1;1853;165;0.982590283
Silene_vulgaris;I;1;0;;8518;0
Sisymbrium_loeselii;N;3;1;1868;150;0.984354782
Solanum_nigrum;A;2;0.5;;2768;0.676391013
Solidago_canadensis;N;3;1;1862;156;0.983648982
Spergula_morisonii;I;1;0;;8518;0
Spergularia_rubra;I;1;0;;8518;0
Stellaria_graminea;I;1;0;;8518;0
Stellaria_media;I;1;0;;8518;0
Stellaria_pallida;I;1;0;;8518;0
Tanacetum_vulgare;I;1;0;;8518;0
Taraxacum_laevigatum;I;1;0;;8518;0
Taraxacum_officinale;I;1;0;;8518;0
Teesdalia_nudicaulis;I;1;0;;8518;0
Thymus_pulegioides;I;1;0;;8518;0
Tragopogon_dubius;I;1;0;;8518;0
Tragopogon_pratensis;I;1;0;;8518;0
Trifolium_arvense;I;1;0;;8518;0
Trifolium_campestre;I;1;0;;8518;0
Trifolium_dubium;I;1;0;;8518;0
Trifolium_pratense;I;1;0;;8518;0
Trifolium_repens;I;1;0;;8518;0
Trifolium_striatum;N;3;1;1977;41;0.997176803
Verbascum_lychnitis;I;1;0;;8518;0
Verbascum_nigrum;I;1;0;;8518;0
Veronica_arvensis;A;2;0.5;;2768;0.676391013
Veronica_chamaedrys;I;1;0;;8518;0
Veronica_officinalis;I;1;0;;8518;0
Veronica_prostrata;I;1;0;;8518;0
Veronica_sublobata;I;1;0;;8518;0
Vicia_angustifolia;A;2;0.5;;2768;0.676391013
Vicia_cracca;I;1;0;;8518;0
Vicia_hirsuta;A;2;0.5;;2768;0.676391013
Vicia_lathyroides;I;1;0;;8518;0
Vicia_sepium;I;1;0;;8518;0
Vicia_tetrasperma;A;2;0.5;;2768;0.676391013
Vicia_villosa;A;2;0.5;;2768;0.676391013
Viola_arvensis;A;2;0.5;;2768;0.676391013
Viola_canina;I;1;0;;8518;0
Viola_suavis;N;3;1;1899;119;0.988001412
Viola_tricolor;A;2;0.5;;2768;0.676391013
